,sched,repetition,time
58,Algoritmo Original,12,54.85331
60,Algoritmo Original,13,56.61323
70,Algoritmo Original,1,61.78684
76,Algoritmo Original,2,57.13109
78,Algoritmo Original,3,52.64968
79,Algoritmo Original,4,57.513
81,Algoritmo Original,5,55.48314
82,Algoritmo Original,6,57.20905
84,Algoritmo Original,7,57.16007
86,Algoritmo Original,8,57.93367
88,Algoritmo Original,9,56.26331
590,Novo Algoritmo,10,53.11084
591,Novo Algoritmo,1,0.3598528
593,Novo Algoritmo,11,55.8441
595,Novo Algoritmo,12,59.18624
597,Novo Algoritmo,13,50.3228
598,Novo Algoritmo,2,0.3590994
599,Novo Algoritmo,3,0.3646336
600,Novo Algoritmo,4,0.3541772
602,Novo Algoritmo,5,56.80166
604,Novo Algoritmo,6,58.81352
606,Novo Algoritmo,7,57.10218
608,Novo Algoritmo,8,54.80768
610,Novo Algoritmo,9,56.9832
